dat_referencia;val_dispf;val_indisppf;val_indispff
2015-01-01;88.5715;7.3982;4.0301
2015-02-01;89.212;7.6673;3.1205
2015-03-01;87.7808;9.1186;3.1004
2015-04-01;88.2381;8.0313;3.7304
2015-05-01;86.4697;9.6202;3.9099
2015-06-01;86.3493;9.9696;3.6809
2015-07-01;86.6347;10.1061;3.2591
2015-08-01;85.8629;10.5667;3.5703
2015-09-01;83.6221;11.7162;4.6616
2015-10-01;84.0867;11.4873;4.4259
2015-11-01;84.7289;10.5587;4.7123
2015-12-01;86.5136;8.8065;4.6798
