dat_referencia;val_dispf;val_indisppf;val_indispff
2019-01-01;87.975;7.0283;4.9965
2019-02-01;88.6627;6.5117;4.8254
2019-03-01;89.0809;6.4212;4.4978
2019-04-01;87.568;7.7465;4.6853
2019-05-01;88.1763;7.5647;4.2589
2019-06-01;87.6042;8.2677;4.1279
2019-07-01;84.775;11.601;3.6238
2019-08-01;83.6326;13.0779;3.2893
2019-09-01;81.4756;15.1942;3.3301
2019-10-01;82.1233;14.2342;3.6424
2019-11-01;82.4989;13.7225;3.7785
2019-12-01;87.7139;8.8873;3.3987
