data;uf;total_pago;total_recebido;total_energia_entregue;total_energia_recebida;total_capacidade;total_geracao_centro_gravidade
2020-10-01;SC;9408.0;2369.0;182.0;547.0;4480.440000000002;1412
2020-10-01;RS;8356.0;12155.0;948.0;474.0;20568.59200000001;4156
2020-10-01;PA;78270.0;1622.0;128.0;4651.0;22281.738;3911
2020-10-01;RN;0.0;0.0;0.0;0.0;5392.281000000001;2436
2020-10-01;ES;1742.0;587.0;43.0;103.0;1578.209;594
2020-10-01;PB;12.0;0.0;0.0;1.0;899.4320000000001;222
2020-10-01;CE;0.0;0.0;0.0;0.0;4518.364000000001;1866
2020-10-01;MT;7828.0;483.0;37.0;467.0;3694.3470000000016;1352
2020-10-01;MS;80.0;123.0;9.0;5.0;2507.8129999999996;893
2020-10-01;DF;45.0;31.0;2.0;3.0;30;8
2020-10-01;TO;1241.0;1659.0;130.0;73.0;1932.6789999999999;921
2020-10-01;MA;4768.0;5.0;0.0;282.0;3900.616999999999;2145
2020-10-01;RO;38018.0;1240.0;97.0;2265.0;8117.615000000001;1141
2020-10-01;AM;118.0;810.0;63.0;7.0;1617.002;1062
2020-10-01;AP;4650.0;60.0;5.0;278.0;965.95;197
2020-04-01;MG;31111.0;9413.0;736.0;2302.0;15917.688999999998;4985
2020-04-01;SP;15921.0;14954.0;1169.0;1176.0;21984.110999999997;7210
2020-04-01;RJ;722.0;1281.0;99.0;53.0;10050.891;3107
2020-04-01;GO;12477.0;6195.0;485.0;920.0;7500.829000000001;2660
2020-04-01;AL;5110.0;27.0;2.0;381.0;4481.891;1220
2020-04-01;PE;2064.0;42.0;3.0;153.0;4217.081000000001;918
2020-04-01;SE;2735.0;293.0;23.0;206.0;4770.64;1664
2020-04-01;BA;4454.0;375.0;30.0;330.0;8266.688999999997;2301
2020-04-01;PI;129.0;56.0;4.0;10.0;2838.9700000000016;647
2020-04-01;PR;34476.0;12688.0;327.0;2556.0;24080.757999999998;6082
2020-04-01;SC;17671.0;25.0;1.0;1304.0;4469.957000000002;298
2020-04-01;RS;28215.0;595.0;46.0;2087.0;20521.235000000015;1406
2020-04-01;PA;111.0;69226.0;5420.0;8.0;22281.738;11298
2020-04-01;RN;0.0;0.0;0.0;0.0;5103.367000000001;1130
2020-04-01;ES;155.0;1192.0;93.0;11.0;1578.209;654
2020-04-01;PB;13.0;0.0;0.0;1.0;861.1320000000002;72
2020-04-01;CE;0.0;0.0;0.0;0.0;4510.484;305
2020-04-01;MT;1642.0;3229.0;250.0;122.0;4194.687000000003;1650
2020-04-01;MS;410.0;105.0;9.0;30.0;2498.813;851
2020-04-01;DF;0.0;61.0;5.0;0.0;60;18
2020-04-01;TO;586.0;2922.0;228.0;43.0;1914.6789999999999;991
2020-04-01;MA;172.0;4506.0;353.0;12.0;3910.406999999999;590
2020-04-01;RO;137.0;26998.0;2113.0;11.0;8117.615000000001;5876
2020-04-01;AM;44.0;578.0;45.0;3.0;1617.002;913
2020-04-01;AP;177.0;3763.0;295.0;13.0;965.95;620
2020-05-01;MG;28052.0;8433.0;657.0;1774.0;15992.048999999997;4852
2020-05-01;SP;16532.0;11670.0;915.0;1057.0;22011.710999999996;7059
2020-05-01;RJ;762.0;1101.0;85.0;48.0;10050.891;3251
2020-05-01;GO;14206.0;6412.0;505.0;903.0;7502.669000000001;2761
2020-05-01;AL;6476.0;11.0;1.0;414.0;4481.891;1088
2020-05-01;PE;2528.0;40.0;3.0;162.0;4230.260999999999;760
2020-05-01;SE;3713.0;146.0;11.0;239.0;4770.64;1578
2020-05-01;BA;6842.0;388.0;30.0;437.0;8317.088999999996;2582
2020-05-01;PI;64.0;204.0;16.0;4.0;2838.9700000000016;918
2020-05-01;PR;40484.0;48236.0;1220.0;2562.0;24080.757999999998;6553
2020-05-01;SC;18400.0;352.0;24.0;1167.0;4470.967000000002;405
2020-05-01;RS;31006.0;426.0;32.0;1972.0;20531.614000000012;1454
2020-05-01;PA;283.0;62550.0;4898.0;16.0;22281.738;10653
2020-05-01;RN;0.0;0.0;0.0;0.0;5141.167000000001;1313
2020-05-01;ES;260.0;1089.0;85.0;16.0;1578.209;575
2020-05-01;PB;12.0;0.0;0.0;1.0;861.1320000000002;79
2020-05-01;CE;0.0;0.0;0.0;0.0;4521.364000000001;424
2020-05-01;MT;1383.0;3235.0;251.0;87.0;4194.687000000003;1607
2020-05-01;MS;414.0;112.0;9.0;27.0;2498.813;769
2020-05-01;DF;0.0;66.0;5.0;0.0;30;18
2020-05-01;TO;1698.0;905.0;72.0;104.0;1914.6789999999999;753
2020-05-01;MA;189.0;3311.0;260.0;12.0;3910.406999999999;610
2020-05-01;RO;631.0;20804.0;1629.0;37.0;8117.615000000001;5114
2020-05-01;AM;65.0;650.0;51.0;4.0;1617.002;941
2020-05-01;AP;97.0;3953.0;309.0;6.0;965.95;635
2020-11-01;MG;6141.0;35220.0;2754.0;342.0;15992.040999999997;7646
2020-11-01;SP;6310.0;30278.0;2371.0;366.0;22096.303999999996;8710
2020-11-01;RJ;1171.0;1488.0;117.0;70.0;10067.891;5442
2020-11-01;GO;4258.0;15324.0;1196.0;249.0;7518.469000000001;3853
2020-11-01;AL;657.0;4576.0;358.0;38.0;4481.891;1809
2020-11-01;PE;509.0;2797.0;219.0;28.0;4233.797999999998;1937
2020-11-01;SE;24.0;7770.0;609.0;1.0;4770.64;2023
2020-11-01;BA;460.0;6027.0;472.0;27.0;8781.908999999994;3311
2020-11-01;PI;34.0;451.0;35.0;2.0;3438.0880000000006;886
2020-11-01;PR;25512.0;78033.0;2168.0;1475.0;24042.757999999998;8464
2020-11-01;SC;11925.0;666.0;46.0;691.0;4483.360000000002;1040
2020-11-01;RS;17195.0;4942.0;386.0;997.0;22278.592000000015;4229
2020-11-01;PA;81698.0;174.0;13.0;4792.0;22281.738;2866
2020-11-01;RN;0.0;0.0;0.0;0.0;5416.536000000001;2489
2020-11-01;ES;496.0;1159.0;92.0;29.0;1578.209;765
2020-11-01;PB;11.0;0.0;0.0;1.0;899.4320000000001;257
2020-11-01;CE;0.0;0.0;0.0;0.0;4606.564000000001;1812
2020-11-01;MT;6665.0;739.0;57.0;393.0;3694.3470000000016;1378
2020-11-01;MS;103.0;115.0;9.0;5.0;2507.8129999999996;1033
2020-11-01;DF;19.0;79.0;6.0;1.0;30;13
2020-11-01;TO;432.0;4399.0;343.0;25.0;1932.6789999999999;1061
2020-11-01;MA;1751.0;1026.0;81.0;104.0;3900.616999999999;2457
2020-11-01;RO;29781.0;1608.0;126.0;1743.0;8117.615000000001;1473
2020-11-01;AM;50.0;938.0;73.0;3.0;1433.002;1066
2020-11-01;AP;2899.0;284.0;22.0;170.0;1043.95;295
2020-07-01;MG;9853.0;22449.0;1752.0;622.0;15992.048999999997;6489
2020-07-01;SP;14796.0;13964.0;1095.0;950.0;22045.003999999997;8101
2020-07-01;RJ;3061.0;478.0;37.0;196.0;10053.891;2295
2020-07-01;GO;9392.0;9749.0;761.0;608.0;7502.669000000001;3315
2020-07-01;AL;2951.0;459.0;36.0;191.0;4481.891;1407
2020-07-01;PE;1068.0;777.0;60.0;68.0;4233.1129999999985;1076
2020-07-01;SE;883.0;1747.0;137.0;58.0;4770.64;1613
2020-07-01;BA;554.0;2383.0;186.0;36.0;8451.488999999996;3608
2020-07-01;PI;72.0;286.0;23.0;5.0;3034.0540000000015;1313
2020-07-01;PR;18326.0;45197.0;1620.0;1137.0;24083.557999999997;8595
2020-07-01;SC;3705.0;9830.0;766.0;228.0;4471.935000000003;2318
2020-07-01;RS;4062.0;27638.0;2162.0;242.0;20554.692000000014;4723
2020-07-01;PA;45502.0;657.0;51.0;2992.0;22281.738;4571
2020-07-01;RN;0.0;0.0;0.0;0.0;5287.147000000001;2321
2020-07-01;ES;809.0;443.0;36.0;54.0;1578.209;466
2020-07-01;PB;11.0;0.0;0.0;1.0;861.1320000000002;109
2020-07-01;CE;0.0;0.0;0.0;0.0;4521.364000000001;762
2020-07-01;MT;2366.0;734.0;55.0;158.0;4201.187000000003;1297
2020-07-01;MS;187.0;81.0;6.0;12.0;2498.813;767
2020-07-01;DF;74.0;0.0;0.0;5.0;30;4
2020-07-01;TO;5489.0;9.0;0.0;360.0;1930.6789999999999;530
2020-07-01;MA;4026.0;5.0;0.0;264.0;3900.406999999999;913
2020-07-01;RO;14030.0;3901.0;305.0;939.0;8117.615000000001;2912
2020-07-01;AM;251.0;875.0;69.0;18.0;1617.002;867
2020-07-01;AP;1080.0;877.0;69.0;72.0;965.95;456
2020-12-01;MG;12243.0;24674.0;1926.0;780.0;15992.040999999997;6742
2020-12-01;SP;8379.0;19857.0;1555.0;544.0;22136.803999999996;7222
2020-12-01;RJ;548.0;3143.0;246.0;35.0;10067.891;5831
2020-12-01;GO;8343.0;7552.0;594.0;542.0;7518.469000000001;2949
