id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
S;SUL;2022-02-01;14187.800625
SE;SUDESTE;2022-02-01;42687.66995833
N;NORTE;2022-02-02;6074.66570833
NE;NORDESTE;2022-02-02;12123.80516667
S;SUL;2022-02-02;14646.09266667
SE;SUDESTE;2022-02-02;42921.06741667
N;NORTE;2022-02-03;5991.46295833
NE;NORDESTE;2022-02-03;12097.95004167
S;SUL;2022-02-03;15239.14554167
SE;SUDESTE;2022-02-03;43013.946625
N;NORTE;2022-02-04;5949.16470833
NE;NORDESTE;2022-02-04;12000.96454167
S;SUL;2022-02-04;14777.66741667
SE;SUDESTE;2022-02-04;43901.27691667
N;NORTE;2022-02-05;5688.321875
NE;NORDESTE;2022-02-05;11362.320625
S;SUL;2022-02-05;12535.88879167
SE;SUDESTE;2022-02-05;41654.31833333
N;NORTE;2022-02-06;5521.45645833
NE;NORDESTE;2022-02-06;10773.14870833
S;SUL;2022-02-06;10282.30733333
SE;SUDESTE;2022-02-06;38076.18725
N;NORTE;2022-02-07;5959.12245833
NE;NORDESTE;2022-02-07;12156.49879167
S;SUL;2022-02-07;12824.1295
SE;SUDESTE;2022-02-07;43052.68158333
N;NORTE;2022-02-08;6100.83054167
NE;NORDESTE;2022-02-08;12318.48754167
S;SUL;2022-02-08;13427.25816667
SE;SUDESTE;2022-02-08;42445.03479167
N;NORTE;2022-02-09;6143.04425
NE;NORDESTE;2022-02-09;12325.704
S;SUL;2022-02-09;13722.75116667
SE;SUDESTE;2022-02-09;41851.589125
N;NORTE;2022-02-10;6135.74754167
NE;NORDESTE;2022-02-10;12346.71504167
S;SUL;2022-02-10;14135.502375
SE;SUDESTE;2022-02-10;41889.906125
N;NORTE;2022-02-11;6006.9805
NE;NORDESTE;2022-02-11;12357.47358333
S;SUL;2022-02-11;14563.02679167
SE;SUDESTE;2022-02-11;42390.44683333
N;NORTE;2022-02-12;5951.77083333
NE;NORDESTE;2022-02-12;11804.30870833
S;SUL;2022-02-12;12765.36333333
SE;SUDESTE;2022-02-12;39633.33129167
N;NORTE;2022-02-13;5584.09079167
NE;NORDESTE;2022-02-13;10861.512
S;SUL;2022-02-13;11139.919125
SE;SUDESTE;2022-02-13;36723.45016667
N;NORTE;2022-02-14;5969.565875
NE;NORDESTE;2022-02-14;11984.966
S;SUL;2022-02-14;13968.59941667
SE;SUDESTE;2022-02-14;44097.19441667
N;NORTE;2022-02-15;6008.99391667
NE;NORDESTE;2022-02-15;12073.78454167
S;SUL;2022-02-15;14459.25758333
SE;SUDESTE;2022-02-15;45117.92675
N;NORTE;2022-02-16;6065.883125
NE;NORDESTE;2022-02-16;12106.08945833
S;SUL;2022-02-16;14668.13054167
SE;SUDESTE;2022-02-16;44657.772875
N;NORTE;2022-02-17;6082.4615
NE;NORDESTE;2022-02-17;12185.81875
S;SUL;2022-02-17;14707.56754167
SE;SUDESTE;2022-02-17;43863.525375
N;NORTE;2022-02-18;6087.00020833
NE;NORDESTE;2022-02-18;11905.93841667
S;SUL;2022-02-18;14043.86975
SE;SUDESTE;2022-02-18;43385.839375
N;NORTE;2022-02-19;5481.77575
NE;NORDESTE;2022-02-19;11367.60925
S;SUL;2022-02-19;12176.51279167
SE;SUDESTE;2022-02-19;39723.37133333
N;NORTE;2022-02-20;5239.54329167
NE;NORDESTE;2022-02-20;10683.289125
S;SUL;2022-02-20;11406.84445833
SE;SUDESTE;2022-02-20;36760.334
N;NORTE;2022-02-21;5814.079375
NE;NORDESTE;2022-02-21;11413.17229167
S;SUL;2022-02-21;14721.57783333
SE;SUDESTE;2022-02-21;43690.44758333
