mes,uf,total_pago,total_recebido,total_energia_entregue,total_energia_recebida,total_capacidade,geracao_total_MWmed
2019-05-01,MT,1188,3231,262,88,3692.045,1498
2019-05-01,DF,30,49,4,2,30,14
2019-05-01,TO,1723,165,13,125,1914.679,615
2019-05-01,MA,890,2953,238,64,3813.207,544
2019-05-01,RO,368,24774,1997,27,8091.055,6237
2019-05-01,AM,84,57,5,6,1722.002,798
2019-05-01,AP,0,4304,348,0,965.95,669
2019-06-01,MG,32344,1078,85,2099,16201.938,3647
2019-06-01,SP,13946,8503,685,905,21966.751,7239
2019-06-01,RJ,1094,1020,81,70,13394.954,3739
2019-06-01,GO,15860,809,65,1042,7578.769,2318
2019-06-01,AL,12623,0,0,820,4481.891,746
2019-06-01,PE,5217,24,2,338,4396.33,952
2019-06-01,SE,10064,0,0,659,3255,863
2019-06-01,BA,6239,93,7,405,8193.024,3038
2019-06-01,PI,104,81,7,7,2229,1178
2019-06-01,PR,1986,63751,3008,136,24039.33,10453
2019-06-01,SC,1294,9720,775,69,4402.992,2167
2019-06-01,RS,4453,12130,976,268,19855.184,3588
2019-06-01,PA,14850,6980,563,890,22246.17,7448
2019-06-01,RN,0,0,0,0,5009.584,2032
2019-06-01,ES,1761,7,0,115,1577.969,402
2019-06-01,MS,55,355,29,3,3009.384,735
2019-06-01,PB,13,0,0,1,847.834,103
2019-06-01,CE,0,0,0,0,4406.244,686
2019-06-01,MT,917,2080,167,62,4095.925,1309
2019-06-01,DF,63,0,0,4,30,5
2019-06-01,TO,3251,7,0,214,1914.679,527
2019-06-01,MA,5640,9,1,366,3813.207,901
2019-06-01,RO,235,21911,1765,16,8091.055,5343
2019-06-01,AM,105,202,16,8,1722.002,840
2019-06-01,AP,41,2008,161,3,965.95,653
2019-07-01,MG,22294,6517,521,1261,16201.938,4410
2019-07-01,SP,10071,9348,748,558,22047.751,7539
2019-07-01,RJ,1438,1115,90,82,13394.954,4352
2019-07-01,GO,9006,2980,240,514,7580.969,2628
2019-07-01,AL,12037,0,0,682,4481.891,748
2019-07-01,PE,4941,55,4,278,4402.53,1195
2019-07-01,SE,9108,0,0,523,3255,868
2019-07-01,BA,5855,60,4,334,8209.024,2905
2019-07-01,PI,62,132,10,4,2229,1168
2019-07-01,PR,2875,96607,3953,145,24039.758,11086
2019-07-01,SC,3233,8335,668,167,4402.992,2052
2019-07-01,RS,1718,20374,1640,86,19855.184,4430
2019-07-01,PA,56102,596,48,3168,22246.17,4078
2019-07-01,RN,0,0,0,0,5009.584,1796
2019-07-01,ES,2465,0,0,141,1577.969,384
2019-07-01,MS,66,300,24,5,3009.384,806
2019-07-01,PB,13,0,0,1,847.834,103
2019-07-01,CE,0,0,0,0,4406.244,1603
2019-07-01,MT,1040,1309,107,61,4095.925,1214
2019-07-01,DF,73,0,0,4,30,3
2019-07-01,TO,4896,21,2,281,1914.679,434
2019-07-01,MA,5776,0,0,329,3813.207,1610
2019-07-01,RO,5761,7704,620,324,8091.055,3365
2019-07-01,AM,0,513,41,0,1722.002,943
2019-07-01,AP,26,2863,231,2,965.95,641
2019-08-01,MG,12550,16336,1311,694,16228.138,5537
2019-08-01,SP,5176,21113,1701,279,22047.751,8685
2019-08-01,RJ,1321,1517,121,75,13394.954,4717
2019-08-01,GO,6362,7165,577,362,7580.969,2905
2019-08-01,AL,10099,0,0,566,4481.891,759
2019-08-01,PE,4149,84,6,231,4402.53,1340
2019-08-01,SE,7211,0,0,416,3255,869
2019-08-01,BA,4054,172,14,230,8225.024,3301
2019-08-01,PI,28,187,15,2,2229,1322
2019-08-01,PR,2606,95136,3697,130,24039.758,10584
2019-08-01,SC,7041,2378,191,375,4412.32,1368
2019-08-01,RS,3860,12678,1016,203,19855.184,3574
2019-08-01,PA,66985,594,48,3797,22246.17,2891
2019-08-01,RN,0,0,0,0,5009.584,2551
2019-08-01,ES,2411,0,0,138,1577.969,403
2019-08-01,MS,53,299,24,3,3029.663,1153
2019-08-01,PB,11,0,0,1,848.932,137
2019-08-01,CE,0,0,0,0,4406.244,1802
2019-08-01,MT,1859,1337,106,107,4095.925,1464
2019-08-01,DF,27,4,0,2,30,5
2019-08-01,TO,4567,28,2,262,1914.679,417
2019-08-01,MA,5403,0,0,308,3813.207,1739
2019-08-01,RO,18842,3057,247,1087,8091.055,1944
2019-08-01,AM,0,522,42,0,1617.002,1014
2019-08-01,AP,108,2115,171,6,965.95,533
2019-09-01,MG,11976,29105,2343,659,16267.263,6965
2019-09-01,SP,2441,34714,2798,133,22017.591,10160
2019-09-01,RJ,1619,1370,109,90,13394.954,4718
2019-09-01,GO,6201,9557,769,341,7580.969,3291
2019-09-01,AL,12141,0,0,666,4481.891,779
2019-09-01,PE,5073,54,4,276,4403.006,1342
2019-09-01,SE,9153,0,0,511,3255,875
2019-09-01,BA,4241,119,9,233,8237.024,3176
2019-09-01,PI,106,138,11,6,2229,1204
2019-09-01,PR,10035,108475,3641,514,24078.758,10658
2019-09-01,SC,8756,862,66,475,4413.328,1103
2019-09-01,RS,5438,6325,508,287,19855.184,3079
2019-09-01,PA,68758,3030,245,3777,22246.17,3643
2019-09-01,RN,0,0,0,0,5071.759,2480
2019-09-01,ES,3071,0,0,170,1577.969,380
2019-09-01,MS,163,160,13,9,3047.663,984
2019-09-01,PB,10,0,0,1,848.932,134
2019-09-01,CE,0,0,0,0,4402.244,2109
2019-09-01,MT,3547,1028,84,196,4100.925,1474
2019-09-01,DF,71,0,0,4,30,3
2019-09-01,TO,5290,53,4,296,1914.679,434
2019-09-01,MA,5596,0,0,307,3875.307,2043
2019-09-01,RO,33603,2070,167,1865,8091.055,1232
2019-09-01,AM,0,1458,117,0,1617.002,1037
2019-09-01,AP,1656,420,34,95,965.95,342
2019-10-01,MG,11663,29585,2382,672,16267.263,7193
2019-10-01,SP,2694,30531,2457,154,22118.591,9938
2019-10-01,RJ,1738,1064,85,102,13394.954,5430
2019-10-01,GO,3195,12112,976,181,7580.969,3745
2019-10-01,AL,11252,0,0,641,4481.891,896
2019-10-01,PE,4512,13,1,256,4403.006,1464
2019-10-01,SE,8254,1,0,476,3255,993
2019-10-01,BA,4256,217,19,249,8267.024,3101
2019-10-01,PI,64,371,30,4,2229,1098
2019-10-01,PR,13847,85632,2731,743,24078.158,9939
2019-10-01,SC,5526,2066,163,305,4413.328,1454
2019-10-01,RS,5638,9633,774,305,19855.184,3459
2019-10-01,PA,61752,2864,231,3587,22246.17,4230
2019-10-01,RN,0,0,0,0,5071.759,2412
2019-10-01,ES,3083,0,0,180,1577.969,386
2019-10-01,MS,447,64,5,27,3047.663,921
