codigo,descricao
A1,Grandes Consumidores
A2,Grandes Consumidores
A3,Grandes Consumidores
A3a,Grandes Consumidores
A4,Grandes Consumidores
AS,Sistema Subterrâneo
B1,Residencial
B2,Rural
B3,Demais Classes
B4,Iluminação Pública
B,Distribuidoras/Geradoras
